cell_line,histotype_code,histotype_label,histotype_note,contributing_centre,patient_id,models_from_same_patient,selected_patient_model,rna_available,protein_available,copy_number_available,variants_available,rna_sample_id,rna_passage,wes_passage,tmt_plex,tmt_channel,stock_str_documentation,stock_mycoplasma_documentation,rna_pseudoalign_pct,rna_sequenced_fragments_M,rna_assigned_gene_counts_M,rna_genes_detected,prot_n_detected,prot_pct_missing,wes_n_coding,fga_autosome,cellosaurus_accession,str_profile_documented,problematic_flag,gene,panel_group,ranking_direction,rna_gene_ids,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,protein_row,protein_uniprot,protein_isodoping,protein_unique_peptides_global,protein_quantified_peptides_global,rna_status,protein_status,rna_abundance_percentile,protein_abundance_percentile,rna_abundance_rank_desc,protein_abundance_rank_desc,rna_n_measured_models,protein_n_measured_models
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,CD276,Surface,higher,ENSG00000103855,NA,NA,11.65937145449997,CD276,Q5ZPR3,False,9,9,assay unavailable,quantified,NA,0.9,NA,4.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,CD276,Surface,higher,ENSG00000103855,100.67067199999995,6.66775976806398,NA,CD276,Q5ZPR3,False,9,9,measured,assay unavailable,0.7666666666666667,NA,8.0,NA,31,31
VOA14993,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA14993,1,True,False,True,False,False,NA,NA,NA,3.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,NA,NA,NA,NA,7562.0,10.3,NA,NA,NA,False,NA,VTCN1,Surface,higher,ENSG00000134258,NA,NA,12.94255829548847,VTCN1,Q7Z7D3,True,4,4,assay unavailable,quantified,NA,0.9666666666666667,NA,2.0,31,31
VOA6861,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA6861,1,True,True,False,False,False,VOA6861p17,p17,NA,NA,NA,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,88.0,80.2,70.6,21208.0,NA,NA,NA,NA,NA,False,NA,VTCN1,Surface,higher,ENSG00000134258,10.321364,3.5009758796904076,NA,VTCN1,Q7Z7D3,True,4,4,measured,assay unavailable,0.5333333333333333,NA,15.0,NA,31,31
OV1369-R2,HGS,High-grade serous carcinoma,consensus,CHUM,1369,2,True,True,True,True,True,OV1369R2p69,p69,P66,1.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.1,81.3,75.7,19767.0,7738.0,8.2,280.0,0.859,CVCL_9T12,True,NA,DPEP3,Surface,higher,ENSG00000141096,23.1327,4.592917430196426,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,1.0,NA,1.0,NA,31,0
OV1946,HGS,High-grade serous carcinoma,consensus,CHUM,OV1946,1,True,True,True,False,False,OV1946p64,p64,NA,5.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.1,48.5,44.6,20074.0,7653.0,9.2,NA,NA,CVCL_4375,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV2085,HGS,High-grade serous carcinoma,consensus,CHUM,OV2085,1,True,True,True,True,True,OV2085p68,p68,P64,2.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.2,87.7,80.8,20470.0,7758.0,7.9,207.0,0.681,CVCL_A1SI,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV2295,HGS,High-grade serous carcinoma,consensus,CHUM,2295,3,True,True,True,True,True,OV2295p64,p64,P61,5.0,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.9,55.8,51.2,20174.0,7653.0,9.2,170.0,0.396,CVCL_9T13,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV2295-R2,HGS,High-grade serous carcinoma,consensus,CHUM,2295,3,False,True,True,True,True,OV2295R2p67,p67,P70,3.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,90.0,97.0,87.3,19526.0,7562.0,10.3,272.0,0.669,CVCL_9T14,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.491777,0.5770318887839438,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.9333333333333333,NA,3.0,NA,31,0
OV3133-R,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,True,True,True,True,True,OV3133Rp64,p64,P71,1.0,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.2,60.0,54.8,19761.0,7738.0,8.2,186.0,0.626,CVCL_9T15,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV4453,HGS,High-grade serous carcinoma,consensus,CHUM,OV4453,1,True,True,True,False,False,OV4453p60,p60,NA,4.0,ch2,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.6,85.0,76.2,21292.0,7694.0,8.7,NA,NA,CVCL_9T20,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV4485,HGS,High-grade serous carcinoma,consensus,CHUM,OV4485,1,True,True,True,False,False,OV4485p60,p60,NA,2.0,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.5,52.1,48.2,19696.0,7758.0,7.9,NA,NA,CVCL_9T21,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV866-2,HGS,High-grade serous carcinoma,consensus,CHUM,OV866-2,1,True,True,True,False,False,OV866-2p67,p67,NA,1.0,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.0,46.1,42.9,19121.0,7738.0,8.2,NA,NA,CVCL_9T22,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
TOV1369,HGS,High-grade serous carcinoma,consensus,CHUM,1369,2,False,True,True,True,True,TOV1369p65,p65,P65,2.0,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.1,66.1,61.5,19808.0,7758.0,7.9,321.0,0.674,CVCL_9T17,True,NA,DPEP3,Surface,higher,ENSG00000141096,2.17563,1.6670428305347458,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.9666666666666667,NA,2.0,NA,31,0
TOV3041G,HGS,High-grade serous carcinoma,consensus,CHUM,TOV3041G,1,True,True,True,False,False,TOV3041Gp67,p67,NA,3.0,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.8,86.3,80.1,20485.0,7562.0,10.3,NA,NA,CVCL_9T24,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
TOV3133G,HGS,High-grade serous carcinoma,consensus,CHUM,3133,4,False,True,True,True,True,TOV3133Gp61,p61,P65,4.0,ch4,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,89.3,64.3,57.5,20346.0,7694.0,8.7,191.0,0.58,CVCL_4064,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
TOV3291G,HGS,High-grade serous carcinoma,consensus,CHUM,3291,2,True,True,True,False,False,TOV3291Gp62,p62,NA,2.0,ch8,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.4,45.1,41.6,19962.0,7758.0,7.9,NA,NA,CVCL_9T25,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV3331,HGS,High-grade serous carcinoma,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",CHUM,OV3331,1,True,True,True,True,True,OV3331p71,p71,P54,4.0,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,93.0,59.5,55.3,20551.0,7694.0,8.7,155.0,0.495,CVCL_A1SQ,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
OV90,HGS,High-grade serous carcinoma,"CONFLICT: Adenocarcinoma (annotation_cleaned/TMT layout/Cell lines Subtypes.xlsx) vs HGS (annotation.csv/updated, summary, ConsensusOV)",CHUM,OV90,1,True,True,True,True,True,OV90p70,p70,P63,5.0,ch3,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.3,48.8,44.5,20284.0,7653.0,9.2,240.0,0.28,CVCL_3768,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.069409,0.09681372342456723,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.9,NA,4.0,NA,31,0
TOV21G,CC,Clear cell carcinoma,consensus,CHUM,TOV21G,1,True,True,True,True,True,TOV21Gp63,p63,P59,5.0,ch5,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,91.9,67.0,61.6,20573.0,7653.0,9.2,1416.0,0.078,CVCL_3613,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0120132,0.017228107670902444,NA,NA,NA,NA,NA,NA,measured,target not quantified in supplied matrix,0.8666666666666667,NA,5.0,NA,31,0
TOV3392D,CC,Clear cell carcinoma,consensus,CHUM,TOV3392D,1,True,True,True,True,True,TOV3392Dp69,p69,P69,1.0,ch7,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,92.3,52.6,48.5,18907.0,7738.0,8.2,196.0,0.688,CVCL_A1SS,True,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
VOA10816,CC,Clear cell carcinoma,consensus,BC Cancer-OVCARE,VOA10816,1,True,True,True,False,False,VOA10816p20,p20,NA,1.0,ch6,Awaiting contributing-laboratory confirmation,Awaiting contributing-laboratory confirmation,86.6,57.7,49.9,20643.0,7738.0,8.2,NA,NA,NA,False,NA,DPEP3,Surface,higher,ENSG00000141096,0.0,0.0,NA,NA,NA,NA,NA,NA,measured TPM zero,target not quantified in supplied matrix,0.4,NA,7.0,NA,31,0
